CurrentMapping,CurrentCtpOfferId,OldMapping,OldCtpOfferId
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^BY^1^Year^Direct^^Global,650a4393-0927-4f0a-9e9f-14c7192723d5,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^BY^1^Year^Direct^edu.microsoft.com_edu^Global,b5b0fab1-a412-4d0a-b5f8-3b1f71a2e850
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^BZ^1^Year^Direct^^Global,9ff4fd64-4829-4241-8758-bfdc8d7e920e,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^BZ^1^Year^Direct^edu.microsoft.com_edu^Global,ad648d4d-1246-46ea-aede-439e5bc446a2
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CI^1^Year^Direct^^Global,41282c5c-7177-482f-b17a-203aca377ebb,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CI^1^Year^Direct^edu.microsoft.com_edu^Global,d757ea8f-3d5d-4b99-83af-db9771a04b55
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CL^1^Year^Direct^^Global,065e3c3c-6757-4685-9c63-a7dc2c9978c7,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CL^1^Year^Direct^edu.microsoft.com_edu^Global,6c7edb2b-ec8f-454e-b724-7603be3929dd
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CM^1^Year^Direct^^Global,1d5673a2-8783-4c25-8edf-2dc01a5af585,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CM^1^Year^Direct^edu.microsoft.com_edu^Global,35020e54-2620-4803-bbd9-7251ab0e0ab2
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CO^1^Year^Direct^^Global,ad140c8e-4128-49c9-8def-5d5c672698ea,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CO^1^Year^Direct^edu.microsoft.com_edu^Global,5fe72afa-b3bb-4c10-8f90-3f1c23b809c8
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CR^1^Year^Direct^^Global,dd8657f7-7b63-409f-9d51-8374d323fc17,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CR^1^Year^Direct^edu.microsoft.com_edu^Global,db8e1330-a4d6-4c6a-96de-d132321f3ae3
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CV^1^Year^Direct^^Global,1fbf8116-029a-4f60-ba94-006dafa12f5a,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CV^1^Year^Direct^edu.microsoft.com_edu^Global,9644169f-dbff-47d7-8984-6ef4eccf6abd
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CW^1^Year^Direct^^Global,79f8446d-b89e-4ac7-8ec2-1dc90a59cfa9,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^CW^1^Year^Direct^edu.microsoft.com_edu^Global,368181fc-b8ae-415b-8639-f6c0211f8b6a
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^DO^1^Year^Direct^^Global,7cafea65-3681-4289-bc48-400e68310e44,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^DO^1^Year^Direct^edu.microsoft.com_edu^Global,b1fd7e25-1ac0-4d84-8fcd-f0144a64915f
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^DZ^1^Year^Direct^^Global,9fc94a83-0c70-40d9-b5b5-69aef742b760,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^DZ^1^Year^Direct^edu.microsoft.com_edu^Global,2ce5fef5-385a-474e-b8ba-c7637c4eaa90
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^EC^1^Year^Direct^^Global,4b0366cb-4397-4c83-b9a7-4cd6030afc62,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^EC^1^Year^Direct^edu.microsoft.com_edu^Global,fe16b1eb-8bf0-4c08-9b68-e51644b021f5
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^EG^1^Year^Direct^^Global,799d5bcf-209b-4d08-98db-0ad06fcd4467,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^EG^1^Year^Direct^edu.microsoft.com_edu^Global,921c54ac-b78d-4b48-91ec-a4fa61e10e3f
