BillableAccount	CTPSubRefId	CTPOfferId	TargetCTPOfferId	
1990464126	4	19DB0677-31B9-42B4-A3DA-03701F582B04	640eece6-13e1-4ed2-83cb-c5128e65fb8c	
2103363812	10	79DB1473-6D8A-45AB-98A5-05A17A661833	ec91c905-1111-4b7a-bd55-b2aec193070e	
3225027782	2	79DB1473-6D8A-45AB-98A5-05A17A661833	ec91c905-1111-4b7a-bd55-b2aec193070e	
2298947760	2	48156F43-FDDE-414B-AF1E-0986AEA3E606	2bc6168f-236e-4521-a622-25d3194fac32	
2081217998	6	313044A6-707F-4C09-BE38-0CC6EB757F1F	4b0c82c8-a52f-4c48-a9f1-178b1161d1a6	
4199875287	1	ACFFCF83-E5A3-47D9-A11A-0EF3270D5C9D	82605333-72c3-4136-8169-c13c6f160f6d	
4229312287	4	ACFFCF83-E5A3-47D9-A11A-0EF3270D5C9D	82605333-72c3-4136-8169-c13c6f160f6d	
4146115297	5	60D413BE-A710-4213-B36A-0F549CFFE050	a44b7862-1526-4e01-b642-a95b408825d2	
1795778112	5	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	c1442e5e-08e6-4be5-8ac8-864e4bb95d92	
1795778128	10	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	c1442e5e-08e6-4be5-8ac8-864e4bb95d92	
1795906340	5	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	c1442e5e-08e6-4be5-8ac8-864e4bb95d92	
1880641820	3	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	c1442e5e-08e6-4be5-8ac8-864e4bb95d92	
2011841600	5	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	c1442e5e-08e6-4be5-8ac8-864e4bb95d92	
2865603318	3	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	c1442e5e-08e6-4be5-8ac8-864e4bb95d92	
4198210145	3	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	c1442e5e-08e6-4be5-8ac8-864e4bb95d92	
5007427359	10	029F2249-D288-4FE0-BFEC-18ED9468C7DE	8fb784ec-c804-4c91-939d-8ec56ad08ae9	
2814275252	5	05490E5A-0674-49AB-A1DB-1F8638F27897	ae8abfb0-1e4b-45fd-affd-623be2fe36e2	
4018626605	9	767F7FCF-1FAD-41B8-B7C0-214992631868	bf96f9d5-1598-4f4b-8e65-b11e5cc2ec39	
2326336078	1	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
2454209638	2	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
2458947678	3	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
2639297458	4	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
2645059200	3	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
2789442084	5	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
4079168681	6	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
4176832291	2	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
4344128149	5	B10B429A-5430-42E5-B3A9-22789F6F624E	4fa5ce26-761f-4bfe-9a09-7ca0ae129389	
3264451960	7	BB236717-45AE-4A36-8949-24DB6612D900	954ac1c5-bb47-4a35-b3b1-122f28070570	
3318976756	7	BB236717-45AE-4A36-8949-24DB6612D900	954ac1c5-bb47-4a35-b3b1-122f28070570	
2299842062	3	AC8FC641-01CC-4067-A011-2613BF96725F	249b4fee-fa7d-4c00-b8c4-01e075c4d763	
2299970708	5	AC8FC641-01CC-4067-A011-2613BF96725F	249b4fee-fa7d-4c00-b8c4-01e075c4d763	
2300355344	3	AC8FC641-01CC-4067-A011-2613BF96725F	249b4fee-fa7d-4c00-b8c4-01e075c4d763	
2301504922	2	AC8FC641-01CC-4067-A011-2613BF96725F	249b4fee-fa7d-4c00-b8c4-01e075c4d763	
2302016946	2	AC8FC641-01CC-4067-A011-2613BF96725F	249b4fee-fa7d-4c00-b8c4-01e075c4d763	
2303043350	4	AC8FC641-01CC-4067-A011-2613BF96725F	249b4fee-fa7d-4c00-b8c4-01e075c4d763	
2303811144	4	AC8FC641-01CC-4067-A011-2613BF96725F	249b4fee-fa7d-4c00-b8c4-01e075c4d763	
3044032594	4	AC8FC641-01CC-4067-A011-2613BF96725F	249b4fee-fa7d-4c00-b8c4-01e075c4d763	
753090990	6	BDB62998-A651-4673-992C-28E432CB9B6F	688f0534-24d8-4b93-8a46-c7c687fcc7a5	
1960770092	3	2585477A-3B0C-46B2-820E-2A58FC7C1CEF	5a1c151b-9229-497c-a265-af9c21421c2e	
1992899358	3	2585477A-3B0C-46B2-820E-2A58FC7C1CEF	5a1c151b-9229-497c-a265-af9c21421c2e	
1898689488	1	613D1563-090A-43FD-815C-35EEBE64D60A	22b5418f-a716-42f6-932e-e4e8d0709f0f	
2131265606	3	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	40483375-704f-4bd6-b64f-b975756e8a6c	
2134595542	2	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	40483375-704f-4bd6-b64f-b975756e8a6c	
2141377470	4	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	40483375-704f-4bd6-b64f-b975756e8a6c	
2143168670	5	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	40483375-704f-4bd6-b64f-b975756e8a6c	
2645058344	3	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	40483375-704f-4bd6-b64f-b975756e8a6c	
2645955282	3	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	40483375-704f-4bd6-b64f-b975756e8a6c	
2680384390	2	34ADC241-68C1-4668-B0C7-37B7C2DCBD57	40483375-704f-4bd6-b64f-b975756e8a6c	
2017345992	4	0CD36901-CCEE-42CE-8869-3C727BA56317	7d03e695-8795-4624-b9a1-751eae61ff85	
2925889640	1	0CD36901-CCEE-42CE-8869-3C727BA56317	7d03e695-8795-4624-b9a1-751eae61ff85	
1770305990	4	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
1770433014	2	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
1770816542	1	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
1770816934	4	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
1787586828	3	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
1877058788	2	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
4530754963	3	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
3470658797	4	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
3888961915	1	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
3898051245	3	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
3972289091	3	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
4018626605	4	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
4163267595	2	7A45FCBC-3816-463B-AA95-3E0B0B34000C	4c15a883-55cb-4797-92f6-af8d43136194	
1273153988	7	1E2E153E-7E76-491B-8236-40069790E495	bb2c1a9f-0ab1-4453-b95f-3aa8c1b992e1	
851523966	5	8FF75022-44E4-42C0-B448-4126325787BE	605b17d0-d685-4b2a-9ee1-e7a26e33a572	
1627075712	2	8FF75022-44E4-42C0-B448-4126325787BE	605b17d0-d685-4b2a-9ee1-e7a26e33a572	
1680321982	3	8FF75022-44E4-42C0-B448-4126325787BE	605b17d0-d685-4b2a-9ee1-e7a26e33a572	
2119747340	3	8FF75022-44E4-42C0-B448-4126325787BE	605b17d0-d685-4b2a-9ee1-e7a26e33a572	
3964483347	7	8FF75022-44E4-42C0-B448-4126325787BE	605b17d0-d685-4b2a-9ee1-e7a26e33a572	
5121473125	5	77F56DFC-3F49-4071-AB5A-4323C75CAADB	5875c5ab-54b6-4111-9282-26004d6af43e	
3159873738	1	3E6C66FC-E654-4F91-800B-46164A1185DA	84924d63-8fdc-41c1-922b-e4d09ac5b400	
3269184166	1	3E6C66FC-E654-4F91-800B-46164A1185DA	84924d63-8fdc-41c1-922b-e4d09ac5b400	
