accountId,refSub,ctpofferId,targetOfferId
536973954,7,613D1563-090A-43FD-815C-35EEBE64D60A,a
724413526,1,620D04FA-C4D1-4E38-8E2C-AE5FF5748537,a
782517998,3,A92CDF44-D7AD-49CC-81C0-5515DADC02F8,a
841348344,5,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
843553064,5,B360FC86-97EB-4FA3-AE3D-F7DD1E807578,a
845475496,6,88EA91B2-A11A-453D-A46B-87A56263D700,a
885309188,8,B7D9F79B-97A1-447A-99AE-520E7EFDE9BE,a
885433874,4,B360FC86-97EB-4FA3-AE3D-F7DD1E807578,a
1049255170,7,B360FC86-97EB-4FA3-AE3D-F7DD1E807578,a
1178662135,3,7A45FCBC-3816-463B-AA95-3E0B0B34000C,a
1196981035,4,12D74070-6D1D-4A60-9DF5-C2E581B35614,a
1215279555,1,4C15A883-55CB-4797-92F6-AF8D43136194,a
1220906361,5,7A45FCBC-3816-463B-AA95-3E0B0B34000C,a
1257136239,2,1676418D-C950-4A91-A7F6-17D01BB4C6A3,a
1257379651,3,264FDA73-C454-40A3-838D-9319C7F6502E,a
1262879275,1,4F5E27EF-92BC-44BB-A238-84E3ED9CF803,a
1295287681,1,43338864-A145-4BAC-A23E-5EAA77B321DC,a
1349767527,2,7A45FCBC-3816-463B-AA95-3E0B0B34000C,a
1454979431,3,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
1458715301,6,4817A70C-1DB6-4303-8A3B-5440D144D90C,a
1471279227,4,F368EA75-9167-462A-947C-6E722BE656F0,a
1476111341,5,4817A70C-1DB6-4303-8A3B-5440D144D90C,a
1482772381,10,4817A70C-1DB6-4303-8A3B-5440D144D90C,a
1483193103,1,9C266811-7617-4FEB-AA9F-DF23C4BF940E,a
1574144627,1,5434F6C5-53F2-46E6-9862-D3A19CC18C15,a
1856461966,5,CB9E61D5-B88B-4AEC-8EB6-2B91B209FBCF,a
2102341522,3,E684D461-F6D1-47B1-914F-ED39A6AE9ADB,a
2127684948,3,79DB1473-6D8A-45AB-98A5-05A17A661833,a
2207307432,3,AC8FC641-01CC-4067-A011-2613BF96725F,a
2268608306,4,B360FC86-97EB-4FA3-AE3D-F7DD1E807578,a
2293568210,5,0060011C-5672-442F-B8D4-2822E424427E,a
2321613082,5,A92CDF44-D7AD-49CC-81C0-5515DADC02F8,a
2368328412,7,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
2465731838,4,43338864-A145-4BAC-A23E-5EAA77B321DC,a
2465858928,3,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
2512456830,4,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
2526794934,7,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
2648642674,4,B360FC86-97EB-4FA3-AE3D-F7DD1E807578,a
2657487762,2,B360FC86-97EB-4FA3-AE3D-F7DD1E807578,a
2805580150,7,C03CD33B-2D5D-4825-8298-6E5F6FC1BE40,a
3043272102,3,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
3123393196,3,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
3134412886,2,F534BEFA-24F7-470A-90AD-9492B48C3A45,a
3135692124,3,7A6A1414-2BCD-4677-A5C5-B3CBD0961154,a
3249864443,1,C03CD33B-2D5D-4825-8298-6E5F6FC1BE40,a
3307343024,2,BF030E59-279F-4145-A70D-EA98C2674FBD,a
3623753041,3,B10B429A-5430-42E5-B3A9-22789F6F624E,a
3714880235,7,5EF3675B-79EA-49BF-800C-46E5461F9B7A,a
3806031907,3,4F5E27EF-92BC-44BB-A238-84E3ED9CF803,a
3822666829,1,43338864-A145-4BAC-A23E-5EAA77B321DC,a
3844812955,2,0CD36901-CCEE-42CE-8869-3C727BA56317,a
4178379213,4,1AF11725-BA10-4A03-908B-52012FE51F48,a
4278731353,5,6F689992-289E-4D1E-9961-DF524A76C151,a
4307783137,1,34ADC241-68C1-4668-B0C7-37B7C2DCBD57,a
4353474421,3,A92CDF44-D7AD-49CC-81C0-5515DADC02F8,a
4754126263,5,B10B429A-5430-42E5-B3A9-22789F6F624E,a
4872775515,8,4817A70C-1DB6-4303-8A3B-5440D144D90C,a
4978511321,8,4817A70C-1DB6-4303-8A3B-5440D144D90C,a
4980429843,9,4817A70C-1DB6-4303-8A3B-5440D144D90C,a
4984270059,8,4817A70C-1DB6-4303-8A3B-5440D144D90C,a
4989633839,6,4817A70C-1DB6-4303-8A3B-5440D144D90C,a
5089222427,4,32F37A24-E601-4B6B-99A1-FF9DDDD3FC42,a
