TenantId	AddressId	Country	PostalCode	Region	False	Valid 2 State Code	
B4DCFC03-6D69-40EF-AC2B-1697EC4C6D3A	E08E834E-A576-4F98-8FF0-E285368149FC	IN	560092	KA		True	
DB80CEC7-95CF-47BE-8B47-16C338D754F1	977EB99F-C934-4DF4-AE51-A42DB572E204	IN	600001	TN		True	
DB1110AB-7CE8-4D39-B00B-16C9AAC686E2	EE050555-AAB6-41F4-B867-0F4A94ED2332	IN	110028	Delhi	True	FALSE	
459C1D96-2833-49A2-83A3-18D1B15BB3C8	8B104A02-A9B9-44C6-A41A-DBAE38FB2939	IN	600099	Tamil Nadu	True	FALSE	
562DAE28-2E07-4C27-B60E-19218054CDB8	6F4BDF52-D3E3-4273-B098-FD8893E54A9A	IN	534447	Andhra Pradesh	True	FALSE	
86CF0690-EF00-46D1-B059-1AA419608447	73FA48DB-A093-4184-AC83-DE8AEAE8F96D	IN	110062	Delhi	True	FALSE	
ECDA91DA-79CC-4F79-8908-1B40CC39EAFE	EB921290-67ED-48C9-A7AE-EBC1BBC2232D	IN	110016	DL		True	
324CC81F-4534-4EDD-A507-1C0000BD1C4E	06A94C69-2B2B-46EB-9D7F-8BE789BA9EBB	IN	411001	Maharashtra	True	FALSE	
64CBDBCB-5EB2-41CB-95B2-1C1367434F4B	BCC0CC8D-115E-4C54-BEC2-3FFCF9792539	IN	121003	Haryana	True	FALSE	
C58FD494-0B18-4670-9F61-1CDFD3022C70	259CCE27-C851-4227-952A-7DA2019BB51B	IN	410206	MH		True	
2B1BBB3C-D5E8-4958-A347-1D0A795B293A	94EFEFF2-9661-4291-BD53-DFEE8C41164C	IN	560066	Karnataka	True	FALSE	
74EBDE78-9591-41EF-92B6-1D6EAC1BF4EB	A7A002D3-C562-499B-838A-624BA95407BA	IN	560087		False	FALSE	
BBD4DE1D-2758-4F52-8FE2-1E1FE847A9A9	E8D30E14-26FD-490D-9318-94762368104A	IN	400013	MAHARASHTRA	True	FALSE	
BBD4DE1D-2758-4F52-8FE2-1E1FE847A9A9	3C44FCB5-92FC-480C-B6B8-EC8579146A55	IN	400013	MH		True	
57B89BBF-3ED1-41E1-ADFA-1FA268F8803B	9ED2610E-78CC-4C7E-839B-17059331E951	IN	180012	JK		True	
41AD62B5-2B19-4140-95C6-221AD5462136	9B3E3959-5452-4CE2-BD51-57A54356C1B2	IN	NULL	NULL	False	FALSE	
23290579-FB17-44C1-927B-223BF58E23D4	EBA82E7A-15BA-4DF2-B291-E4862FE0AFC1	IN	500060	TS		True	
5F8AF714-D169-4F6C-8A86-227717C1BD54	14F4B120-B9A2-4FC4-A0DB-F1E577133D04	IN	110017	DL		True	
59D84F93-D5AD-4560-860D-2308C97239F2	918CB956-E70F-46D8-8254-77EDA26E5611	IN	411057	AN		True	
6EBB5B29-A86C-4321-99A0-233F8EB1EAAA	9E859B01-53CF-4473-822D-49BD61753CD1	IN	380015	Gujarat	True	FALSE	
1347376F-4381-458F-8EB9-239DFCE4E822	E6858EC2-7EA4-4026-8C23-9B07563024B5	IN	682019	Kerala	True	FALSE	
EAB225D0-B650-4F52-8B7C-2421B5AEAC87	0BA01716-D4C3-4D5E-8F3C-04404A343CBA	IN	400614	Maharashtra	True	FALSE	
EAB225D0-B650-4F52-8B7C-2421B5AEAC87	42C0FE1E-A7B4-4795-A272-F8D34AD8C27A	IN	400614	Maharashtra	True	FALSE	
5799FFF6-386E-4C5D-9A42-244A8E8F6F76	37600801-FB78-4C55-817A-4DFD8B72CC31	IN	560102	KA		True	
5799FFF6-386E-4C5D-9A42-244A8E8F6F76	23C20402-374E-4296-9118-AAE21E5860AA	IN	560102	Karnataka	True	FALSE	
0753B502-847E-462C-8F0E-25A7ADE6ADBA	B83089D6-6EA3-4026-B5CA-BA3BAB26BB72	IN	560034	KA		True	
1C465721-A695-430A-A57A-262CB101A2F2	54A9C97F-33B7-42B1-8F2A-B3779972F083	IN	682020		False	FALSE	
D15DD5A2-D61B-40C8-ADC1-264FBDF84304	8D8A5BF1-5450-47D6-95ED-FD510632677C	IN	500082	Andhra Pradesh	True	FALSE	
C45791B9-818D-4476-A727-269620311509	19D8C020-B3BE-4755-B5E6-B6ADC8A6A759	IN	400064	Maharashtra	True	FALSE	
