TenantId	AddressId	Country	PostalCode	Region	False	Valid 2 State Code	
7489046B-8C48-4BFA-A707-58C6BB38E9F2	DC0878E8-6171-404D-A9F7-AB095888E061	IN	122001	" Haryana,"	False	FALSE	
7489046B-8C48-4BFA-A707-58C6BB38E9F2	2FB7619C-E6BF-4557-9FB2-E8FD5C380817	IN	122001	" Haryana,"	False	FALSE	
7489046B-8C48-4BFA-A707-58C6BB38E9F2	E605F3E7-2C20-40A7-B166-6D19FC58E059	IN	122001	" Haryana,"	False	FALSE	
7F9BC8B0-5A3D-41C5-90B0-0B5448D7D400	1629E6D6-F425-49BE-A65B-A18494133DD9	IN	110065	 New Delhi 	False	FALSE	
FD468EB7-CFB5-45B9-8514-72FAED33CB36	762E08FB-08E2-4376-A170-401A474E9C07	IN	110016	 New Delhi 	False	FALSE	
7F9BC8B0-5A3D-41C5-90B0-0B5448D7D400	3A2E2F9D-B057-4A07-A6B7-68346BF9F58A	IN	110065	 New Delhi 	False	FALSE	
FD468EB7-CFB5-45B9-8514-72FAED33CB36	73C1EF70-8B6F-4210-8B6D-4D910D1C26D2	IN	110016	 New Delhi 	False	FALSE	
FD468EB7-CFB5-45B9-8514-72FAED33CB36	063C5FE2-9B9C-4D93-B254-65A9C97285FA	IN	110016	 New Delhi 	False	FALSE	
7F9BC8B0-5A3D-41C5-90B0-0B5448D7D400	5580FAFC-937E-4DC6-904A-F9B852888E62	IN	110065	 New Delhi 	False	FALSE	
7F9BC8B0-5A3D-41C5-90B0-0B5448D7D400	A6ACD5A0-67E1-48B1-95A9-2D44184677AD	IN	110065	 New Delhi 	False	FALSE	
7F9BC8B0-5A3D-41C5-90B0-0B5448D7D400	6E59AD31-2A9F-4FC1-B90E-5EA7E2E68124	IN	110065	 New Delhi 	False	FALSE	
7F9BC8B0-5A3D-41C5-90B0-0B5448D7D400	90054BEE-B42A-4F29-AA16-5F8F6A278EFD	IN	110065	 New Delhi 	False	FALSE	
FD468EB7-CFB5-45B9-8514-72FAED33CB36	58BAB95A-8F4B-42A3-86DC-BE94A5161274	IN	110016	 New Delhi 	False	FALSE	
8F623994-5ABC-46E9-BA22-5DB83459B1E0	C2084F16-5183-4CDD-B264-2B4F47B9A4CE	IN	110005	`	False	FALSE	
8F623994-5ABC-46E9-BA22-5DB83459B1E0	4CB41FD4-9957-46C8-93D6-15353C8C9219	IN	110005	`	False	FALSE	
C45563F5-595C-449D-A63D-D57BEAD4271C	DAE5D13E-6DFB-4322-81FC-7BBA9248D0A7	IN	380054	AN		True	
578EAE25-870D-4475-972E-C5B21D02756E	705783A9-8D08-4936-8DC3-D8A93A2DF26E	IN	574227	AN		True	
